player_name,club,minutes_played,npxg_per90,xa_per90,shots_on_target_per90,progressive_passes_per90,successful_dribbles_per90,pass_completion_percentage,tackles_interceptions_per90,aerial_duels_won_percentage,ball_recoveries_per90,fouls_committed_per90,date_of_birth,country_of_citizenship,transfermarkt_position,preferred_foot,height_in_cm,player_photo_url,market_value_in_eur,stats_vector
Mohamed Salah,Liverpool FC,3377,0.4890435297601421,0.2414569144210838,1.625703286941072,12.552561445069587,1.5457506662718388,73.85,0.7995262066923304,39.13,2.6917382291975125,0.6662718389102753,15/06/1992 00:00,Egypt,Attack,left,175.0,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,30000000,"[0.514504018613908, 0.4678319062983827, 0.60342944921528, 0.39508412193042564, 0.2460680967180404, 0.551702395964691, 0.11489487710986081, 0.4347777777777778, 0.26717762545932217, 0.13384660941664195]"
Cole Palmer,Chelsea,3195,0.3766197183098591,0.2574647887323943,1.4366197183098592,14.225352112676056,1.4366197183098592,83.13,1.267605633802817,22.22,2.9859154929577465,0.4225352112676056,06/05/2002 00:00,England,Midfield,left,185.0,https://img.a.transfermarkt.technology/portrait/header/568177-1712320986.jpg?lm=1,120000000,"[0.39622722062123744, 0.4990633447116547, 0.5332453051643193, 0.4500910988689325, 0.22869553771225487, 0.7467423287095418, 0.18215962441314554, 0.24688888888888888, 0.3085332504891337, 0.08488262910798121]"
Bruno Fernandes,Manchester United,3024,0.2264880952380952,0.2375,0.863095238095238,19.25595238095238,0.8333333333333333,81.53,3.273809523809524,44.23,6.339285714285714,0.9523809523809524,08/09/1994 00:00,Portugal,Midfield,right,179.0,https://img.a.transfermarkt.technology/portrait/header/240306-1683882766.jpg?lm=1,40000000,"[0.23827947427371696, 0.4601119475677379, 0.320364169973545, 0.6155141361338803, 0.13265835929387332, 0.7131147540983607, 0.47045855379188717, 0.4914444444444444, 0.7799521483561214, 0.1913227513227513]"
Matheus Cunha,Wolverhampton,2600,0.2987307692307692,0.1827692307692307,1.523076923076923,10.419230769230769,2.1115384615384616,79.35,1.9038461538461533,30.95,4.326923076923077,1.4538461538461538,27/05/1999 00:00,Brazil,Attack,right,183.0,https://img.a.transfermarkt.technology/portrait/header/517894-1696599737.jpg?lm=1,45000000,"[0.3142832322681747, 0.35333195821374636, 0.5653365384615385, 0.3249330423240432, 0.3361358734723221, 0.6672971836906263, 0.2735897435897435, 0.3438888888888889, 0.4970529412895905, 0.29206153846153843]"
Bukayo Saka,Arsenal,1735,0.3148703170028818,0.4046109510086455,1.1930835734870318,16.85878962536023,2.126801152737752,84.28,1.659942363112392,33.33,3.631123919308357,0.7780979827089337,05/09/2001 00:00,England,Attack,left,178.0,https://img.a.transfermarkt.technology/portrait/header/433177-1684155052.jpg?lm=1,130000000,"[0.3312630340282262, 0.7861462025295105, 0.442849423631124, 0.5366873713938671, 0.3385655417598104, 0.7709121479613283, 0.23853986551392892, 0.37033333333333335, 0.39923705745627697, 0.15631123919308357]"
Bryan Mbeumo,Brentford,3415,0.1997657393850659,0.2440409956076134,1.0805270863836018,11.095168374816984,1.370424597364568,73.9,1.6603221083455344,31.82,4.111273792093704,0.6588579795021963,07/08/1999 00:00,Cameroon,Attack,left,171.0,https://img.a.transfermarkt.technology/portrait/header/413039-1769532496.jpg?lm=1,40000000,"[0.2101659043427177, 0.47287346090222987, 0.4010706442166912, 0.3471601416272404, 0.21815793434682063, 0.5527532576712906, 0.23859443631039529, 0.35355555555555557, 0.46673682899948726, 0.13235724743777452]"
Amad Diallo,Manchester United,1908,0.2212264150943396,0.1971698113207547,0.8018867924528302,13.915094339622645,1.9339622641509435,85.95,2.311320754716981,40.0,5.1415094339622645,0.9905660377358492,11/07/2002 00:00,Cote d'Ivoire,Attack,left,173.0,https://img.a.transfermarkt.technology/portrait/header/536835-1747857754.jpg?lm=1,50000000,"[0.23274386156465804, 0.38142755890774405, 0.29764478511530407, 0.439888780971164, 0.30786751307823434, 0.8060109289617488, 0.33214535290006986, 0.4444444444444445, 0.6115680044372634, 0.1989937106918239]"
Kevin De Bruyne,Manchester City,1715,0.266064139941691,0.3537026239067055,0.944606413994169,24.82215743440233,0.6822157434402332,82.98,1.259475218658892,23.81,3.3586005830903787,0.8921282798833818,28/06/1991 00:00,Belgium,Midfield,right,181.0,https://img.a.transfermarkt.technology/portrait/header/88755-1713391485.jpg?lm=1,15000000,"[0.27991591929698617, 0.6868238158286382, 0.3506195335276968, 0.7985496581147763, 0.10860194545107762, 0.7435897435897436, 0.18099125364431484, 0.26455555555555554, 0.3609255551992916, 0.17921865889212824]"
Youri Tielemans,Aston Villa,3032,0.0753957783641161,0.1677110817941952,0.3858839050131926,14.010554089709762,0.9201846965699207,85.98,3.176121372031662,57.14,4.304089709762533,1.217018469656992,07/05/1997 00:00,Belgium,Midfield,right,177.0,https://img.a.transfermarkt.technology/portrait/header/249565-1716886438.jpg?lm=1,35000000,"[0.07932101867064276, 0.3239534384186846, 0.1432326022427441, 0.4430278182537615, 0.14648423051315562, 0.8066414459857083, 0.4564204045734388, 0.634888888888889, 0.4938430121523438, 0.24448548812664903]"
Josko Gvardiol,Manchester City,3279,0.1259835315645013,0.079871912168344,0.3293687099725526,19.67978042086002,0.686184812442818,91.38,2.7996340347666973,56.25,3.760292772186643,0.4391582799634035,23/01/2002 00:00,Croatia,Defender,left,185.0,https://img.a.transfermarkt.technology/portrait/header/475959-1713391602.jpg?lm=1,70000000,"[0.13254246161052247, 0.15257880346766015, 0.12225526075022874, 0.6294510259483426, 0.10923378166924612, 0.9201345102984446, 0.40231777981091793, 0.625, 0.41739569615215893, 0.08822201890820372]"
