League,Club Name,Club Image URL
England Premier League,Arsenal,https://api.sofascore.app/api/v1/team/42/image
England Premier League,Leicester City,https://api.sofascore.app/api/v1/team/31/image
England Premier League,Brighton & Hove Albion,https://api.sofascore.app/api/v1/team/30/image
England Premier League,Brentford,https://api.sofascore.app/api/v1/team/50/image
England Premier League,Bournemouth,https://api.sofascore.app/api/v1/team/60/image
England Premier League,Aston Villa,https://api.sofascore.app/api/v1/team/40/image
England Premier League,Nottingham Forest,https://api.sofascore.app/api/v1/team/14/image
England Premier League,Wolverhampton,https://api.sofascore.app/api/v1/team/3/image
England Premier League,Fulham,https://api.sofascore.app/api/v1/team/43/image
England Premier League,Manchester City,https://api.sofascore.app/api/v1/team/17/image
England Premier League,West Ham United,https://api.sofascore.app/api/v1/team/37/image
England Premier League,Ipswich Town,https://api.sofascore.app/api/v1/team/32/image
England Premier League,Tottenham Hotspur,https://api.sofascore.app/api/v1/team/33/image
England Premier League,Crystal Palace,https://api.sofascore.app/api/v1/team/7/image
England Premier League,Manchester United,https://api.sofascore.app/api/v1/team/35/image
England Premier League,Southampton,https://api.sofascore.app/api/v1/team/45/image
England Premier League,Chelsea,https://api.sofascore.app/api/v1/team/38/image
England Premier League,Everton,https://api.sofascore.app/api/v1/team/48/image
England Premier League,Newcastle United,https://api.sofascore.app/api/v1/team/39/image
England Premier League,Liverpool FC,https://api.sofascore.app/api/v1/team/44/image
Spain La Liga,Real Madrid,https://api.sofascore.app/api/v1/team/2829/image
Spain La Liga,Deportivo Alavés,https://api.sofascore.app/api/v1/team/2885/image
Spain La Liga,Real Betis,https://api.sofascore.app/api/v1/team/2816/image
Spain La Liga,Celta Vigo,https://api.sofascore.app/api/v1/team/2821/image
Spain La Liga,Espanyol,https://api.sofascore.app/api/v1/team/2814/image
Spain La Liga,Getafe,https://api.sofascore.app/api/v1/team/2859/image
Spain La Liga,Valencia,https://api.sofascore.app/api/v1/team/2828/image
Spain La Liga,Atlético Madrid,https://api.sofascore.app/api/v1/team/2836/image
Spain La Liga,Girona FC,https://api.sofascore.app/api/v1/team/24264/image
Spain La Liga,Rayo Vallecano,https://api.sofascore.app/api/v1/team/2818/image
Spain La Liga,Real Sociedad,https://api.sofascore.app/api/v1/team/2824/image
