league_id,country,league
260,Albania,Kategoria Superiore
516,Algeria,Algerian Ligue Professionnelle 1
112,Argentina,Liga Profesional
8965,Argentina,Primera B Nacional
9213,Argentina,Primera B Metropolitana & Torneo Federal A
118,Armenia,Armenian Premier League
113,Australia,A-League
38,Austria,Austrian Bundesliga
119,Austria,2. Liga
262,Azerbaijan,Azerbaijan Premier League
10443,Bangladesh,Bangladesh Premier League
40,Belgium,First Division A
264,Belgium,First Division B
144,Bolivia,FBF DivisiÛn Profesional
267,Bosnia-Herzegovina,Premier League of Bosnia and Herzegovina
268,Brazil,Campeonato Brasileiro SÈrie A
8814,Brazil,Campeonato Brasileiro SÈrie B
8971,Brazil,Campeonato Brasileiro SÈrie C
10290,Brazil,Baiano
10272,Brazil,Carioca
10274,Brazil,Ga√∫cho
10291,Brazil,Goiano
10273,Brazil,Mineiro
10244,Brazil,Paulista A1
9464,Brazil,Serie D
270,Bulgaria,First Professional League
9096,Bulgaria,Second Professional League
9986,Canada,Canadian Premier League
273,Chile,Liga de Primera
9126,Chile,Liga de Ascenso
120,China,Chinese Super League
9137,China,China League One
274,Colombia,Primera A
9125,Colombia,Primera B
121,Costa Rica,Liga FPD
252,Croatia,HNL
136,Cyprus,Cypriot First Division
9100,Cyprus,Cypriot Second Division
122,Czech Republic,1. Liga
253,Czech Republic,FNL
46,Denmark,Superligaen
85,Denmark,1. Division
239,Denmark,2. Division
240,Denmark,3. Division
246,Ecuador,LigaPro
519,Egypt,Egyptian Premier League
335,El Salvador,Primera DivisiÛn de F˙tbol de El Salvador
47,England,Premier League
48,England,EFL Championship
108,England,EFL League One
109,England,EFL League Two
117,England,National League
8944,England,National North & South
8947,England,Premier Division
9084,England,Premier League 2
10176,England,Premier League 2 Div 2
10068,England,Premier League U18
248,Estonia,Regular Season
250,Faroe Islands,Faroe Islands Premier League
51,Finland,Veikkausliiga
251,Finland,Ykkosliiga
8969,Finland,Ykkonen
53,France,Ligue 1
110,France,Ligue 2
8970,France,National
439,Georgia,Erovnuli Liga
54,Germany,Bundesliga
146,Germany,2. Bundesliga
208,Germany,3. Liga
512,Germany,Regionalliga
522,Ghana,Ghana Premier League
135,Greece,Super League 1
8815,Greece,Super League 2
336,Guatemala,Liga Nacional
212,Hungary,Nemzeti Bajnoks√°g I
215,Iceland,Besta deildin
216,Iceland,1. Deild
10226,Iceland,2. Deild
9478,India,Indian Super League
8982,India,Indian Football League
8983,Indonesia,Super League
523,Iran,Persian Gulf
9372,Iran,Azadegan League
524,Iraq,Stars League
126,Ireland,League of Ireland Premier Division
218,Ireland,First Division
55,Italy,Serie A
86,Italy,Serie B
147,Italy,Serie C
223,Japan,J. League
8974,Japan,J. League 2
9136,Japan,J. League 3
225,Kazakhstan,Kazakhstan  Premier League
226,Latvia,Virsliga
228,Lithuania,Toplyga
229,Luxembourg,National Division
249,North Macedonia,Macedonian First Football League
8985,Malaysia,Liga Super
8976,Mexico,Liga de Expansi√≥n MX
9906,Mexico,Liga MX Femenil
232,Montenegro,1. CFL
530,Morocco,Botola Pro
57,Netherlands,Eredivisie
111,Netherlands,Eerste Divisie
9195,Netherlands,Tweede Divisie
8870,New Zealand,New Zealand Football Championship
533,Nigeria,Professional Football League
129,Northern Ireland,NIFL Premiership
59,Norway,Eliteserien
203,Norway,OBOS-ligaen
204,Norway,PostNord-ligaen
205,Norway,Norsk Tipping-ligaen
9039,Panama,LPF
199,Paraguay,Division Profesional
131,Peru,Liga 1
196,Poland,Ekstraklasa
197,Poland,I Liga
8935,Poland,II Liga
61,Portugal,Liga Portugal
185,Portugal,Liga Portugal 2
9112,Portugal,Liga 3
189,Romania,Liga I
9113,Romania,Liga II
63,Russia,Russian Premier League
338,Russia,Russian First League
64,Scotland,Premiership
123,Scotland,Championship
124,Scotland,League One
125,Scotland,League Two
9545,Scotland,Highland / Lowland
182,Serbia,Super Liga
461,Singapore,Singapore Premier League
173,Slovenia,Prva Liga
537,South Africa,Premier Soccer League
9080,"Korea, South",K League 1
9116,"Korea, South",K League 2
87,Spain,LaLiga
140,Spain,LaLiga2
8968,Spain,Primera Federaci√≥n
9138,Spain,Segunda Federaci√≥n
67,Sweden,Allsvenskan
168,Sweden,Superettan
169,Sweden,Ettan
69,Switzerland,Swiss Super League
163,Switzerland,Challenge League
8984,Thailand,Thai League
9498,Thailand,Thai League 2
544,Tunisia,Ligue I
71,T√ºrkiye,S√ºper Lig
165,T√ºrkiye,1. Lig
441,Ukraine,Ukrainian Premier League
538,United Arab Emirates,Pro League
130,United States,MLS
8972,United States,USL Championship
9296,United States,USL League One
10282,United States,MLS Next Pro
10084,United States,NISA
161,Uruguay,Liga AUF Uruguaya
9122,Uruguay,Segunda Division
339,Venezuela,Primera Division
9088,Vietnam,V-League
116,Wales,Cymru Premier
9066,Tanzania,Tanzanian Premier League
