fotmob_id,team_id,name,dob,height_cm,preferred_foot,country,category,positions,transfermarkt_value
1189794,1773,Jamie Lawrence,2002-11-10T00:00:00.000Z,200.0,right,Germany,CB,RB,300000.0
450739,8697,Alexander Schlager,1996-02-01T00:00:00.000Z,184.0,right,Austria,GK,,14000000.0
1156883,9977,Lukas Jungwirth,2004-04-30T00:00:00.000Z,193.0,right,Austria,GK,,3000000.0
1284330,10056,Benjamin Markus,2001-01-30T00:00:00.000Z,185.0,left,Slovenia,CM,"CB,DM",1000000.0
706973,10017,Oliver Steurer,1995-01-06T00:00:00.000Z,190.0,left,Germany,CB,LB,400000.0
176431,10011,Samuel Sahin-Radlinger,1992-11-07T00:00:00.000Z,197.0,right,Austria,GK,,450000.0
447085,10011,Reinhold Ranftl,1992-01-24T00:00:00.000Z,180.0,right,Austria,RWB,RM,300000.0
274591,10017,Andreas Leitner,1994-03-25T00:00:00.000Z,184.0,both,Austria,GK,,250000.0
197952,10008,Dejan Stojanovic,1993-07-19T00:00:00.000Z,196.0,left,Austria,GK,,500000.0
1385166,10056,Fabian Wilfinger,2003-08-27T00:00:00.000Z,178.0,,Austria,CB,CM,800000.0
731314,2433,Manuel Maranda,1997-07-09T00:00:00.000Z,188.0,right,Austria,CB,,500000.0
658636,10011,Manfred Fischer,1995-08-06T00:00:00.000Z,179.0,right,Austria,AM,"DM,CM,RW",700000.0
167116,10017,Michael Sollbauer,1990-05-15T00:00:00.000Z,186.0,right,Austria,CB,,100000.0
1585596,10012,Beres Owusu,2003-09-19T00:00:00.000Z,,right,France,CB,CM,800000.0
951288,1954,Nicolas Wimmer,1995-03-15T00:00:00.000Z,190.0,left,Austria,CB,,700000.0
688449,9977,Andrés Andrade,1998-10-16T00:00:00.000Z,187.0,left,Panama,CB,,2500000.0
1518139,9837,Tom Hülsmann,2004-04-11T00:00:00.000Z,205.0,,Germany,GK,,4000000.0
430838,7978,Nikki Havenaar,1995-02-16T00:00:00.000Z,200.0,right,Japan,CB,"RB,LB",23000000.0
1029360,9977,Kasper Jørgensen,1999-11-07T00:00:00.000Z,185.0,right,Denmark,RWB,"RB,RM,RW",4000000.0
1002670,10014,Paul-Friedrich Koller,2002-02-22T00:00:00.000Z,186.0,left,Austria,CB,,1500000.0
614961,10008,Mike-Steven Bähre,1995-08-10T00:00:00.000Z,177.0,right,Germany,CM,"DM,RM",400000.0
1025947,10012,Donovan Pines,1998-03-07T00:00:00.000Z,196.0,,USA,CB,,500000.0
1338495,10015,Romeo Amané,2003-02-20T00:00:00.000Z,176.0,right,Ivory Coast,CM,DM,5000000.0
1249635,1583,Marco Boras,2001-09-28T00:00:00.000Z,199.0,right,Croatia,CB,LB,800000.0
1184793,8464,Nikolas Polster,2002-07-07T00:00:00.000Z,185.0,right,Austria,GK,,1500000.0
176791,10008,Benedikt Zech,1990-11-03T00:00:00.000Z,186.0,right,Austria,CB,,125000.0
446392,10014,Jon Gorenc Stankovic,1996-01-14T00:00:00.000Z,190.0,right,Slovenia,DM,"CB,CM",2500000.0
1107251,10011,Tae-Seok Lee,2002-07-28T00:00:00.000Z,174.0,left,South Korea,LWB,LM,2000000.0
426726,9977,Sascha Horvath,1996-08-22T00:00:00.000Z,164.0,right,Austria,DM,CM,2000000.0
1072820,10015,Serge Raux Yao,1999-05-30T00:00:00.000Z,197.0,left,France,CB,LB,4000000.0
934854,10015,Nenad Cvetkovic,1996-01-06T00:00:00.000Z,194.0,both,Serbia,CB,,1200000.0
1697790,10008,Yann Massombo,2000-02-12T00:00:00.000Z,186.0,left,France,RW,"DM,CM,AM,LW,ST",800000.0
1185195,10008,Benjamin Böckle,2002-06-17T00:00:00.000Z,185.0,left,Austria,LWB,"CB,RM,LM",250000.0
1053284,6406,Dejan Zukic,2001-05-07T00:00:00.000Z,182.0,,Serbia,AM,"CM,RW,ST",450000.0
1291593,10011,Moritz Wels,2004-09-25T00:00:00.000Z,186.0,both,Austria,AM,"RW,LW",200000.0
459258,10011,Philipp Wiesinger,1994-05-23T00:00:00.000Z,181.0,left,Austria,CB,,450000.0
1385123,10014,Simon Seidl,2002-09-04T00:00:00.000Z,182.0,right,Austria,AM,"RWB,DM,RM,CM,LM,ST,LW",400000.0
1512829,9748,Mohamed Ouédraogo,2003-01-02T00:00:00.000Z,183.0,left,Burkina Faso,LM,"RB,CB,LB,LWB",3000000.0
849991,10017,Yusuf Maart,1995-07-17T00:00:00.000Z,170.0,right,South Africa,DM,"CB,CM",500000.0
128106,10011,Aleksandar Dragovic,1991-03-06T00:00:00.000Z,184.0,both,Austria,CB,,600000.0
1220043,10013,Abubakr Barry,2000-07-02T00:00:00.000Z,190.0,right,The Gambia,DM,"CM,AM",1500000.0
446363,10056,Lukas Spendlhofer,1993-06-02T00:00:00.000Z,187.0,right,Austria,CB,,200000.0
888904,10015,Bendegúz Bolla,1999-11-22T00:00:00.000Z,179.0,right,Hungary,RB,"RWB,RM,RW",3000000.0
1667728,9977,Ramiz Harakate,2002-07-13T00:00:00.000Z,,left,France,ST,AM,600000.0
1231904,10233,Elias Havel,2003-04-16T00:00:00.000Z,182.0,right,Austria,ST,LM,6000000.0
638127,10011,Johannes Eggestein,1998-05-08T00:00:00.000Z,182.0,right,Germany,ST,AM,2200000.0
557831,1954,René Renner,1993-11-29T00:00:00.000Z,182.0,left,Austria,LWB,"LB,RM,LM",300000.0
642153,6604,Emir Karic,1997-06-09T00:00:00.000Z,186.0,left,Bosnia and Herzegovina,LB,LM,300000.0
1108604,9977,Melayro Bogarde,2002-05-28T00:00:00.000Z,186.0,right,Suriname,DM,"CB,LWB,CM",4000000.0
821240,8173,Shon Weissman,1996-02-14T00:00:00.000Z,174.0,right,Israel,ST,"AM,RW",
1366348,9977,Moses Usor,2002-02-05T00:00:00.000Z,181.0,left,Nigeria,ST,"RW,AM",6000000.0
951245,10017,Ante Bajic,1995-08-22T00:00:00.000Z,183.0,right,Austria,RWB,"DM,RM,CM,RW,AM",400000.0
1160392,10015,Niklas Hedl,2001-03-17T00:00:00.000Z,188.0,right,Austria,GK,,1200000.0
1714552,10252,Modou Kéba Cissé,2005-08-04T00:00:00.000Z,,right,Senegal,CB,,45000000.0
951250,10008,Patrick Greil,1996-09-08T00:00:00.000Z,175.0,right,Austria,LW,"CM,LM,AM,RW",800000.0
953995,9977,George Bello,2002-01-22T00:00:00.000Z,170.0,left,USA,LWB,"LB,LM",3000000.0
803558,10017,Philipp Pomer,1997-08-12T00:00:00.000Z,180.0,left,Austria,LWB,"RB,RWB,RM,CM,LM,LW",400000.0
264845,10056,Tobias Kainz,1992-10-31T00:00:00.000Z,174.0,right,Austria,CM,,225000.0
1276078,10015,Matthias Seidl,2001-01-24T00:00:00.000Z,175.0,both,Austria,DM,"CM,AM,LW",2500000.0
521065,206091,Simon Pirkl,1997-04-03T00:00:00.000Z,176.0,left,Austria,LWB,"CM,LM",250000.0
861777,10014,Jürgen Heil,1997-04-04T00:00:00.000Z,176.0,,Austria,RWB,"RB,CM",2500000.0
1234640,8485,Alexander Briedl,2002-04-21T00:00:00.000Z,180.0,left,Austria,DM,"CM,AM",1500000.0
459283,2186,Dominik Baumgartner,1996-07-20T00:00:00.000Z,187.0,right,Austria,CB,,500000.0
1498718,8529,Kingstone Mutandwa,2003-01-05T00:00:00.000Z,180.0,right,Zambia,ST,RW,6000000.0
889093,10012,Jacob Italiano,2001-07-30T00:00:00.000Z,177.0,both,Australia,AM,"RWB,LWB,LM,LW",600000.0
195206,10013,Stefan Lainer,1992-08-27T00:00:00.000Z,176.0,right,Austria,RB,,800000.0
1188855,9977,Samuel Adeniran,1998-09-30T00:00:00.000Z,196.0,left,USA,ST,LW,3000000.0
1295825,10015,Dominic Vincze,2004-03-01T00:00:00.000Z,188.0,right,Austria,CB,LWB,400000.0
276153,10008,Lukas Jäger,1994-02-12T00:00:00.000Z,183.0,right,Austria,CB,"DM,CM",200000.0
951303,2433,Alem Pasic,1997-08-23T00:00:00.000Z,194.0,right,Slovenia,CB,DM,500000.0
1081025,9748,Mads Bidstrup,2001-02-25T00:00:00.000Z,175.0,right,Denmark,DM,CM,3000000.0
652954,10014,Otar Kiteishvili,1996-03-26T00:00:00.000Z,170.0,both,Georgia,AM,"CM,LW",5500000.0
1406604,10017,Jonas Mayer,2004-06-29T00:00:00.000Z,173.0,right,Germany,DM,"CM,AM",800000.0
1487881,8264,Maximilian Hennig,2006-10-12T00:00:00.000Z,178.0,left,Germany,LWB,,150000.0
1260840,4530,Antonio Van Wyk,2002-03-30T00:00:00.000Z,178.0,right,South Africa,LW,"RW,AM,ST",2500000.0
1437941,9977,Alemão,2002-11-06T00:00:00.000Z,194.0,right,Brazil,CB,,4000000.0
934742,1921,Maurice Malone,2000-08-17T00:00:00.000Z,184.0,left,Germany,ST,"AM,RW",100000.0
1459265,10013,Frans Krätzig,2003-01-14T00:00:00.000Z,177.0,left,Germany,LB,CM,2800000.0
1663164,10056,Marco Hoffmann,2003-11-08T00:00:00.000Z,,,Austria,ST,CM,450000.0
1233202,10014,Seedy Jatta,2003-03-18T00:00:00.000Z,180.0,right,Norway,ST,RW,1000000.0
1684401,9885,Kerim Alajbegovic,2007-09-21T00:00:00.000Z,185.0,both,Bosnia and Herzegovina,LW,"CM,LM,RW,AM",35000000.0
1119118,10008,Ousmane Diawara,1999-10-10T00:00:00.000Z,187.0,right,Mali,ST,"RW,AM",500000.0
1663487,10015,Nikolaus Wurmbrand,2006-01-05T00:00:00.000Z,173.0,both,Austria,RW,"LM,AM,LW,ST",5000000.0
1663147,1954,Boris Matic,2004-08-19T00:00:00.000Z,180.0,right,Serbia,RWB,"RB,LWB,RM",1200000.0
861933,1583,Nikolai Baden,2000-05-18T00:00:00.000Z,179.0,left,Denmark,AM,"RW,LW",1000000.0
941702,10012,Tobias Koch,2001-04-06T00:00:00.000Z,180.0,right,Austria,DM,AM,400000.0
461357,9977,Alessandro Schöpf,1994-02-07T00:00:00.000Z,178.0,right,Austria,DM,CM,2500000.0
822495,89466,Tin Plavotic,1997-06-30T00:00:00.000Z,197.0,left,Croatia,CB,,50000.0
240242,1954,Simon Piesinger,1992-05-13T00:00:00.000Z,194.0,right,Austria,DM,"CB,CM",200000.0
1663202,10008,Filip Milojevic,2005-02-09T00:00:00.000Z,191.0,right,Austria,CB,CM,1000000.0
1257631,10056,Angelo Gattermayer,2002-06-06T00:00:00.000Z,182.0,right,Austria,ST,AM,100000.0
1572340,9937,Jannik Schuster,2006-05-16T00:00:00.000Z,190.0,right,Austria,CB,,35000000.0
919376,10008,Vesel Demaku,2000-02-05T00:00:00.000Z,180.0,right,Kosovo,CM,DM,500000.0
1323005,1583,David Kubatta,2003-10-29T00:00:00.000Z,195.0,left,Germany,CB,,400000.0
1429598,10013,Soumaïla Diabaté,2004-11-22T00:00:00.000Z,168.0,right,Mali,CM,DM,8000000.0
1156880,1954,Marco Sulzner,2003-07-02T00:00:00.000Z,189.0,right,Austria,DM,"CM,LW",700000.0
1333743,10015,Kouadio Ange Ahoussou,2003-12-22T00:00:00.000Z,194.0,left,Ivory Coast,CB,"LB,LWB",2500000.0
1165206,1954,Fabian Wohlmuth,2002-06-25T00:00:00.000Z,188.0,left,Austria,RWB,"CB,LM",700000.0
1436842,10012,Ludwig Vraa-Jensen,2005-06-23T00:00:00.000Z,187.0,right,Denmark,CB,,400000.0
429945,2433,Ronivaldo,1989-03-24T00:00:00.000Z,173.0,right,Brazil,ST,,200000.0
1479742,9789,Joane Gadou,2007-01-17T00:00:00.000Z,195.0,right,France,CB,,15000000.0
710328,10015,Jannes-Kilian Horn,1997-02-06T00:00:00.000Z,183.0,left,Germany,LB,"CB,LWB,LM",1200000.0
723669,10012,Jakob Meierhofer,1997-11-06T00:00:00.000Z,186.0,both,Austria,GK,,200000.0
1587610,10014,Jacob Hödl,2007-01-31T00:00:00.000Z,175.0,left,Austria,CM,"RWB,DM,LWB,RM,LM,RW,AM,LW",5000000.0
1482721,6033,Viktor Baier,2005-01-16T00:00:00.000Z,201.0,,Czechia,GK,,650000.0
940453,10013,Yorbe Vertessen,2001-01-08T00:00:00.000Z,176.0,right,Belgium,ST,"RW,AM,LW",5000000.0
1338846,10013,Sota Kitano,2004-08-13T00:00:00.000Z,172.0,right,Japan,AM,"CM,RW",6000000.0
1199118,9927,Martin Moormann,2001-04-30T00:00:00.000Z,185.0,left,Austria,CB,,600000.0
1131220,8020,Janis Antiste,2002-08-18T00:00:00.000Z,179.0,left,Martinique,AM,"CM,ST",300000.0
1632055,10013,Edmund Baidoo,2006-01-30T00:00:00.000Z,174.0,right,Ghana,RW,ST,8000000.0
882146,1583,Murat Satin,1996-08-30T00:00:00.000Z,177.0,right,Austria,AM,"RWB,DM,CM,LW",900000.0
1149438,10011,Kang-Hee Lee,2001-08-24T00:00:00.000Z,189.0,,South Korea,DM,CB,500000.0
978170,8427,Tomi Horvat,1999-03-24T00:00:00.000Z,175.0,left,Slovenia,AM,"DM,RM,CM,RW",4000000.0
1385516,10015,Nicolas Bajlicz,2004-07-08T00:00:00.000Z,174.0,right,Austria,DM,"LWB,RW,AM",600000.0
1118147,9977,Krystof Danek,2003-01-05T00:00:00.000Z,182.0,left,Czechia,AM,"CM,ST",2000000.0
1062761,10191,Nico Maier,2000-07-02T00:00:00.000Z,173.0,right,Switzerland,AM,"RM,CM",150000.0
951238,10233,Franz Stolz,2001-02-14T00:00:00.000Z,193.0,right,Austria,GK,,8500000.0
459138,10012,Daniel Maderner,1995-10-12T00:00:00.000Z,190.0,right,Austria,ST,,300000.0
862918,158085,Nico Mantl,2000-02-06T00:00:00.000Z,193.0,right,Germany,GK,,700000.0
951278,1954,Thorsten Schriebl,1998-11-24T00:00:00.000Z,175.0,right,Austria,RW,AM,2000000.0
1583236,1954,Cheick Diabaté,2004-01-01T00:00:00.000Z,189.0,right,Ivory Coast,CB,,1000000.0
1514694,10012,Alexander Hofleitner,2000-05-03T00:00:00.000Z,196.0,right,Austria,ST,,350000.0
814457,1583,Thomas Sabitzer,2000-10-12T00:00:00.000Z,176.0,right,Austria,LW,"AM,ST",300000.0
858198,8602,Sasa Kalajdzic,1997-07-07T00:00:00.000Z,200.0,right,Austria,ST,AM,3500000.0
1076655,10012,Leon Klassen,2000-05-29T00:00:00.000Z,176.0,left,Germany,LW,LB,600000.0
1070404,10013,Maurits Kjærgaard,2003-06-26T00:00:00.000Z,186.0,left,Denmark,CM,"DM,LM,LW",8000000.0
1175942,10171,Marlon Mustapha,2001-05-24T00:00:00.000Z,185.0,right,Austria,ST,RW,6000000.0
1512828,9776,Damjan Kovacevic,2004-08-28T00:00:00.000Z,178.0,right,Austria,RWB,CM,150000.0
806972,8535,Oliver Christensen,1999-03-22T00:00:00.000Z,190.0,right,Denmark,GK,,1400000.0
1435101,8722,Elias Bakatukanda,2004-04-13T00:00:00.000Z,193.0,both,Germany,CB,,5500000.0
767256,8350,Jacob Rasmussen,1997-05-28T00:00:00.000Z,193.0,left,Denmark,CB,,1000000.0
1236382,1583,Ademola Ola-Adebomi,2003-09-03T00:00:00.000Z,195.0,left,England,ST,,450000.0
539087,10014,Albert Vallci,1995-07-02T00:00:00.000Z,191.0,right,Austria,CB,,800000.0
459264,2433,Dominik Frieser,1993-09-09T00:00:00.000Z,176.0,right,Austria,RM,RWB,300000.0
167119,1954,Markus Pink,1991-02-24T00:00:00.000Z,192.0,right,Austria,ST,,175000.0
1089478,8487,Mathias Olesen,2001-03-21T00:00:00.000Z,188.0,both,Luxembourg,DM,CM,200000.0
1280257,10015,Petter Nosakhare Dahl,2003-10-22T00:00:00.000Z,180.0,right,Norway,LW,"LM,AM",2500000.0
1340071,10014,Jeyland Mitchell,2004-09-29T00:00:00.000Z,187.0,right,Costa Rica,CB,"RB,RWB",3000000.0
800587,9985,Dimitri Lavalée,1997-01-13T00:00:00.000Z,187.0,left,Belgium,CB,,700000.0
765229,10012,Mark Grosse,1999-02-01T00:00:00.000Z,184.0,both,Austria,ST,"AM,RW",400000.0
184360,8680,Andreas Weimann,1991-08-05T00:00:00.000Z,188.0,right,Austria,ST,"RW,AM,LW",25000.0
1783320,10056,Habib Coulibaly,2003-11-11T00:00:00.000Z,186.0,left,Ivory Coast,CB,LWB,400000.0
1072519,10015,Ercan Kara,1996-01-03T00:00:00.000Z,192.0,right,Austria,ST,,900000.0
557330,1583,Thomas Goiginger,1993-03-15T00:00:00.000Z,181.0,right,Austria,AM,"RW,ST,LW",150000.0
1315098,10056,Luca Pazourek,2005-02-04T00:00:00.000Z,178.0,right,Austria,LWB,RWB,500000.0
1302821,8543,Petar Ratkov,2003-08-18T00:00:00.000Z,193.0,right,Serbia,ST,,9000000.0
615413,1583,David Gugganig,1997-02-10T00:00:00.000Z,190.0,left,Austria,CB,,300000.0
1290727,10008,Srdjan Hrstic,2003-07-18T00:00:00.000Z,192.0,right,Serbia,ST,"RW,LW",500000.0
1087658,8548,Tochi Chukwuani,2003-03-24T00:00:00.000Z,187.0,right,Denmark,DM,CM,5000000.0
1670148,10011,Philipp Maybach,2007-12-14T00:00:00.000Z,182.0,right,Austria,DM,CM,2500000.0
1385055,10011,Sanel Saljic,2005-11-27T00:00:00.000Z,177.0,left,Austria,AM,"CM,LW",2000000.0
1515126,10017,Fabian Rossdorfer,2005-11-09T00:00:00.000Z,180.0,right,Austria,LWB,"RB,RWB,DM,LM,ST",500000.0
951310,10012,Christian Lichtenberger,1995-12-12T00:00:00.000Z,172.0,,Austria,AM,,300000.0
1035202,1218969,Ismaila Coulibaly,2000-12-25T00:00:00.000Z,183.0,right,Mali,DM,"CB,CM",200000.0
1562902,10013,Tim Drexler,2005-03-06T00:00:00.000Z,186.0,right,Germany,RB,CB,3000000.0
317397,1064271,Martin Kreuzriegler,1994-01-10T00:00:00.000Z,185.0,left,Austria,CB,,
919916,8003,Emanuel Aiwu,2000-12-25T00:00:00.000Z,184.0,right,Austria,CB,,275000.0
546780,2433,Fabio Strauss,1994-08-06T00:00:00.000Z,195.0,right,Austria,CB,,200000.0
1285732,9888,Sadik Fofana,2003-05-16T00:00:00.000Z,192.0,right,Togo,DM,"CB,CM,LW",800000.0
1093003,10015,Tobias Gulliksen,2003-07-09T00:00:00.000Z,177.0,right,Norway,CM,"AM,ST",2200000.0
1515122,10014,Arjan Malic,2005-08-28T00:00:00.000Z,186.0,right,Bosnia and Herzegovina,RB,,1800000.0
1381853,8178,Tim Oermann,2003-10-06T00:00:00.000Z,189.0,right,Germany,CB,RB,4000000.0
1664568,7998,Erik Kojzek,2006-01-02T00:00:00.000Z,,right,Austria,ST,,50000.0
992025,9891,Aleksa Terzic,1999-08-17T00:00:00.000Z,185.0,left,Serbia,LB,RB,150000.0
824191,10056,Lukas Fridrikas,1997-12-30T00:00:00.000Z,180.0,right,Austria,ST,AM,350000.0
1435397,9752,Chibuike Nwaiwu,2003-07-23T00:00:00.000Z,193.0,right,Nigeria,CB,,10000000.0
1384426,9985,Ryan Fosso,2002-06-17T00:00:00.000Z,183.0,right,Cameroon,DM,"CB,CM",3500000.0
1394109,10003,Moussa Kounfolo Yeo,2004-06-01T00:00:00.000Z,173.0,right,Mali,LW,"RM,CM,AM",4500000.0
1385273,8294,Peter Kiedl,2004-01-13T00:00:00.000Z,193.0,,Austria,ST,,200000.0
1293688,10013,Karim Konaté,2004-03-21T00:00:00.000Z,178.0,right,Ivory Coast,ST,,12000000.0
1357730,1954,Emmanuel Agyemang,2004-01-03T00:00:00.000Z,180.0,left,Ghana,DM,CM,800000.0
916593,8481,Mamadou Fofana,2000-09-17T00:00:00.000Z,177.0,right,Mali,DM,CM,500000.0
520348,1954,Donis Avdijaj,1996-08-25T00:00:00.000Z,172.0,right,Kosovo,ST,"DM,AM,LW",500000.0
766797,10011,Manprit Sarkaria,1996-08-26T00:00:00.000Z,180.0,left,Austria,CM,"AM,RW,LW",600000.0
1357698,8271,Matteo Bignetti,2004-05-06T00:00:00.000Z,190.0,both,Austria,GK,,100000.0
1412442,10017,Dejan Radonjic,2005-09-25T00:00:00.000Z,190.0,right,Austria,CB,,400000.0
176831,1583,Lukas Hinterseer,1991-03-28T00:00:00.000Z,192.0,right,Austria,ST,,100000.0
459261,10017,Martin Rasner,1995-05-18T00:00:00.000Z,177.0,right,Austria,DM,CM,250000.0
1385272,10014,Leon Grgic,2006-01-22T00:00:00.000Z,189.0,both,Croatia,ST,,2500000.0
1484822,10014,Filip Rózga,2006-08-07T00:00:00.000Z,176.0,left,Poland,LW,"CM,RW,AM",2800000.0
1179819,8340,Tio Cipot,2003-04-20T00:00:00.000Z,172.0,right,Slovenia,AM,,800000.0
1232205,9977,Christoph Lang,2002-01-07T00:00:00.000Z,178.0,both,Austria,AM,,800000.0
866723,10015,Claudy M'Buyi,1999-06-03T00:00:00.000Z,183.0,right,France,ST,,1200000.0
1248004,10014,Daniil Khudyakov,2004-01-09T00:00:00.000Z,194.0,right,Russia,GK,,1800000.0
883480,2030,Tobias Anselm,2000-02-24T00:00:00.000Z,171.0,,Austria,ST,,125000.0
