tm_player_id,fotmob_player_id,fotmob_name,tm_name,status
148367,1157237,Christos Tzolis,Christian Nørgaard,unmatched
262749,562727,David Raya,David Raya,matched
357662,654096,Declan Rice,Declan Rice,matched
423440,1031325,Martín Zubimendi,Martín Zubimendi,matched
435338,795179,Gabriel,Gabriel,matched
420243,942381,Jurriën Timber,Jurriën Timber,matched
495666,955406,William Saliba,William Saliba,matched
325443,664500,Viktor Gyökeres,Viktor Gyökeres,matched
433177,961995,Bukayo Saka,Bukayo Saka,matched
479999,818975,Eberechi Eze,Eberechi Eze,matched
659813,1137667,Piero Hincapié,Piero Hincapié,matched
502821,1105912,Riccardo Calafiori,Riccardo Calafiori,matched
316264,534670,Martin Ødegaard,Martin Ødegaard,matched
503987,1084981,Noni Madueke,Noni Madueke,matched
655488,1021586,Gabriel Martinelli,Gabriel Martinelli,matched
338424,574645,Mikel Merino,Mikel Merino,matched
646750,1298907,Cristhian Mosquera,Cristhian Mosquera,matched
335721,776151,Ben White,Ben White,matched
890721,1406436,Myles Lewis-Skelly,Myles Lewis-Skelly,matched
309400,749736,Kai Havertz,Kai Havertz,matched
363205,576165,Gabriel Jesus,Gabriel Jesus,matched
357662,1254234,Ethan Nwaneri,Declan Rice,unmatched
1187629,1635773,Max Dowman,Max Dowman,matched
357662,748382,Reiss Nelson,Declan Rice,unmatched
148367,266520,Christian Nørgaard,Christian Nørgaard,matched
192279,317564,Kepa Arrizabalaga,Kepa Arrizabalaga,matched
646750,952029,Illan Meslier,Cristhian Mosquera,unmatched
435338,1025462,Fábio Vieira,Gabriel,unmatched
460939,1089691,Elliot Anderson,Tijjani Reijnders,unmatched
392757,844425,Marc Guéhi,Marc Guéhi,matched
583255,933576,Antoine Semenyo,Antoine Semenyo,matched
315858,618878,Gianluigi Donnarumma,Gianluigi Donnarumma,matched
418560,737066,Erling Haaland,Erling Haaland,matched
601883,955529,Matheus Nunes,Matheus Nunes,matched
743413,1300526,Nico O'Reilly,Nico O'Reilly,matched
258004,614006,Rúben Dias,Rúben Dias,matched
406635,815006,Phil Foden,Phil Foden,matched
486049,942368,Jérémy Doku,Jérémy Doku,matched
607223,1104053,Rayan Cherki,Rayan Cherki,matched
460939,868344,Tijjani Reijnders,Tijjani Reijnders,matched
392757,312765,Jack Grealish,Marc Guéhi,unmatched
466805,1280132,Nico González,Nico González,matched
357565,675088,Rodri,Rodri,matched
763079,1362998,Abdukodir Khusanov,Abdukodir Khusanov,matched
475959,1070712,Josko Gvardiol,Josko Gvardiol,matched
578391,933845,Rayan Aït-Nouri,Rayan Aït-Nouri,matched
743591,1174337,Savinho,Savinho,matched
445939,839204,Omar Marmoush,Omar Marmoush,matched
701057,1288450,Rico Lewis,Rico Lewis,matched
566799,1187213,James Trafford,James Trafford,matched
843595,1414691,Max Alleyne,Max Alleyne,matched
51471,239219,Mateo Kovacic,Mateo Kovacic,matched
258004,1099974,Issa Kaboré,Rúben Dias,unmatched
486049,1677188,Jeremy Monga,Jérémy Doku,unmatched
743591,609755,Kalvin Phillips,Savinho,unmatched
241641,1107651,Finley Burns,Bernardo Silva,unmatched
578391,1680328,Ryan McAidoo,Rayan Aït-Nouri,unmatched
445939,1539619,Juma Bah,Omar Marmoush,unmatched
607223,1486264,Claudio Echeverri,Rayan Cherki,unmatched
241641,1187225,Josh Wilson-Esbrand,Bernardo Silva,unmatched
701057,1580952,Vitor Reis,Rico Lewis,unmatched
503883,1178602,Senne Lammens,Senne Lammens,matched
183288,362694,Luke Shaw,Luke Shaw,matched
240306,422685,Bruno Fernandes,Bruno Fernandes,matched
357147,751550,Diogo Dalot,Diogo Dalot,matched
413039,923312,Bryan Mbeumo,Bryan Mbeumo,matched
517894,863098,Matheus Cunha,Matheus Cunha,matched
536835,1070052,Amad Diallo,Amad Diallo,matched
357147,163604,Karl Darlow,Diogo Dalot,unmatched
923831,465960,Youri Tielemans,Leny Yoro,unmatched
177907,255610,Harry Maguire,Harry Maguire,matched
923831,1358581,Leny Yoro,Leny Yoro,matched
627442,1073977,Benjamin Sesko,Benjamin Sesko,matched
