competition_id,competition,country
IN1L,Super League,Indonesia
ILI2,Championship,Indonesia
IN3L,Liga Nusantara,Indonesia
IN20,EPA Super League U20,Indonesia
I3P1,Liga Nusantara Promotion Playoff,Indonesia
I3P2,Liga Nusantara Relegation Playoff,Indonesia
OM1L,Oman Jindal League,Oman
BH1L,Bhutan Premier League,Bhutan
AUS1,A-League Men,Australia
A2SW,National Premier League - New South Wales,Australia
A2VI,National Premier League - Victoria,Australia
KHM1,Cambodian Premier League,Cambodia
CSPC,Cambodian Super Cup,Cambodia
HGKG,Hong Kong Premier League,Hongkong
HK2L,Hong Kong First Division,Hongkong
HK3L,Hong Kong Second Division,Hongkong
HKFA,Hong Kong FA Cup,Hongkong
HKSC,Hong Kong Senior Challenge Shield,Hongkong
HLC2,Hong Kong League Cup,Hongkong
HFA4,Hong Kong FA Cup Junior Division,Hongkong
HK2F,Hong Kong U22 FA Cup,Hongkong
HK22,Hong Kong U22 League,Hongkong
BGD1,Bangladesh Football League,Bangladesh
BGDP,Bangladesh Federation Cup,Bangladesh
BGSC,Bangladesh Super Cup,Bangladesh
LIB1,Lebanese Premier League,Lebanon
RSK1,K League 1,"Korea, South"
RSK2,K League 2,"Korea, South"
K3L,K3 League,"Korea, South"
K4L,K4 League,"Korea, South"
KSC1,Korean Super Cup,"Korea, South"
KRC3,K3·K4 Championship,"Korea, South"
TFPL,Taiwan Football Premier League,Chinese Taipei
TFL2,Taiwan Football League Div.2,Chinese Taipei
IND1,Indian Super League,India
INIL,Indian Football League,India
IND2,I-League 2,India
INDC,Durand Cup,India
INSC,Super Cup,India
INKP,Super League Kerala Playoffs,India
IND4,RF Development League,India
INR1,Super League Kerala,India
JAP1,J1 League,Japan
JAP2,J2 League,Japan
JAP3,J3 League,Japan
JFL,Japan Football League,Japan
HOSL,Hokkaido Soccer League,Japan
TOHL,Tohoku Soccer League (Div.1),Japan
KTOS,Kanto Soccer League (Div.1),Japan
HKSE,Hokushin'etsu Football League (Div.1),Japan
TOSL,Tokai Soccer League (Div.1),Japan
JPKA,Kansai Soccer League (Div.1),Japan
JCSL,Chugoku Soccer League,Japan
SHSL,Shikoku Soccer League,Japan
JPKS,Kyushu Soccer League,Japan
J6TN,Tohoku Soccer League (Div.2 North),Japan
J6TS,Tohoku Soccer League (Div.2 South),Japan
J6K2,Kanto Soccer League (Div.2),Japan
J6H2,Hokushin'etsu Football League (Div.2),Japan
J6T2,Tokai Soccer League (Div.2),Japan
J6KA,Kansai Soccer League (Div.2),Japan
J18E,Prince Takamado U18 Premier League East,Japan
J18W,Prince Takamado U18 Premier League West,Japan
J1YV,J1 100 Year Vision League,Japan
J2J3,J2/J3 100 Year Vision League,Japan
JJFL,JFL Cup,Japan
IRN1,Persian Gulf Pro League,Iran
IRN2,Azadegan League,Iran
IRN3,League 2,Iran
IRNP,Hazfi Cup,Iran
IRSC,Iran Super Cup,Iran
IPL2,League 2 - Playoff,Iran
MYS1,Malaysia Super League,Malaysia
MYSP,Malaysia FA Cup,Malaysia
MYC1,Piala Malaysia,Malaysia
MLCC,MFL Challenge Cup,Malaysia
CSL,Chinese Super League,China
CLO,China League One,China
CHL3,China League Two A,China
CL3S,China League Two B,China
CN41,Chinese Champions League (Regional Stage),China
CHFA,Chinese FA Cup,China
CHSC,Chinese FA Super Cup,China
KG1L,Jogorku Liga,Kyrgyzstan
IRQ1,Iraq Stars League,Iraq
IRQC,Iraq FA Cup,Iraq
JO1L,Jordanian Pro League,Jordan
MYA1,Myanmar National League,Myanmar
MLD1,Dhivehi Premier League,Maldives
QSL,Qatar Stars League,Qatar
QU2L,Qatari Second Division,Qatar
QEC1,Amir Cup,Qatar
QSCP,Qatari Stars Cup (Ooredoo),Qatar
AMCQ,Amir Cup - Preliminary stage,Qatar
SIN1,Singapore Premier League,Singapore
SIN2,Singapore Premier League 2,Singapore
SINP,Singapore Cup,Singapore
SPCS,Singapore Community Shield,Singapore
PFL1,Philippines Football League,Philippines
SA1,Saudi Pro League,Saudi Arabia
SA2L,Saudi First Division League,Saudi Arabia
SAKC,King's Cup,Saudi Arabia
SASS,Saudi Super Cup,Saudi Arabia
UAE1,UAE Pro League,United Arab Emirates
UAEP,UAE President's Cup,United Arab Emirates
UASC,UAE Super Cup,United Arab Emirates
UALC,UAE League Cup,United Arab Emirates
TAD1,Vysshaya Liga,Tajikistan
UZ1,O'zbekiston Superligasi,Uzbekistan
UZ2L,O'zbekiston Pro Liga,Uzbekistan
UZSC,Uzbekistan Supercup,Uzbekistan
VIE1,V.League 1,Vietnam
VPO1,Vietnamese Cup,Vietnam
ALG1,Ligue 1,Algeria
ALGP,Coupe d'Algerie,Algeria
AGSC,Supercoupe d'Algérie,Algeria
THA1,Thai League,Thailand
THA2,Thai League 2,Thailand
THFA,Thai FA Cup,Thailand
T3LC,Thai League 3 Champions League,Thailand
THLC,Thai Cup,Thailand
COM1,Championnat des Comores de D1,Comoros
EGY1,Egyptian Premier League,Egypt
EGYP,Egypt Cup,Egypt
ESCU,Egyptian Super Cup,Egypt
EGCP,Championship Playoff,Egypt
EGRP,Relegation Playoff,Egypt
EGLC,Egyptian League Cup,Egypt
ETP1,Ethiopian Premier League,Ethiopia
MAR1,Botola Pro Inwi,Morocco
GHPL,Ghana Premier League,Ghana
