league_id,country,league
38,Austria,Austrian Bundesliga
40,Belgium,First Division A
46,Denmark,Superligaen
47,England,Premier League
48,England,EFL Championship
51,Finland,Veikkausliiga
53,France,Ligue 1
54,Germany,Bundesliga
55,Italy,Serie A
57,Netherlands,Eredivisie
59,Norway,Eliteserien
61,Portugal,Liga Portugal
63,Russia,Russian Premier League
64,Scotland,Premiership
67,Sweden,Allsvenskan
69,Switzerland,Swiss Super League
71,Türkiye,Süper Lig
86,Italy,Serie B
87,Spain,LaLiga
108,England,EFL League One
110,France,Ligue 2
112,Argentina,Liga Profesional
122,Czech Republic,1. Liga
130,United States,MLS
140,Spain,LaLiga2
146,Germany,2. Bundesliga
196,Poland,Ekstraklasa
223,Japan,J. League
230,Mexico,Liga MX
246,Ecuador,LigaPro
252,Croatia,HNL
268,Brazil,Campeonato Brasileiro Série A
274,Colombia,Primera A
519,Egypt,Egyptian Premier League
536,Saudi Arabia,Saudi Pro League
537,South Africa,Premier Soccer League
9080,"Korea, South",K League 1
135,Greece,Super League 1
189,Romania,Liga I
