tm_team_id,fotmob_team_id,tm_name,fotmob_name,
11,9825,Arsenal FC,Arsenal,
281,8456,Manchester City,Manchester City,
985,10260,Manchester United,Manchester United,
405,10252,Aston Villa,Aston Villa,
31,8650,Liverpool FC,Liverpool,
989,8678,AFC Bournemouth,AFC Bournemouth,
289,8472,Sunderland AFC,Sunderland,
1237,10204,Brighton & Hove Albion,Brighton & Hove Albion,
1148,9937,Brentford FC,Brentford,
631,8455,Chelsea FC,Chelsea,
931,9879,Fulham FC,Fulham,
762,10261,Newcastle United,Newcastle United,
29,8668,Everton FC,Everton,
399,8463,Leeds United,Leeds United,
873,9826,Crystal Palace,Crystal Palace,
703,10203,Nottingham Forest,Nottingham Forest,
148,8586,Tottenham Hotspur,Tottenham Hotspur,
379,8654,West Ham United,West Ham United,
1132,8191,Burnley FC,Burnley,
543,8602,Wolverhampton Wanderers,Wolverhampton Wanderers,
990,8669,Coventry City,Coventry City,
677,9902,Ipswich Town,Ipswich Town,
1028,10004,Millwall FC,Millwall,
180,8466,Southampton FC,Southampton,
641,8549,Middlesbrough FC,Middlesbrough,
3008,8667,Hull City,Hull City,
1112,9841,Wrexham AFC,Wrexham,
22,10170,Derby County,Derby County,
1123,9850,Norwich City,Norwich City,
337,8658,Birmingham City,Birmingham City,
2288,10003,Swansea City,Swansea City,
698,8427,Bristol City,Bristol City,
350,8657,Sheffield United,Sheffield United,
466,8411,Preston North End,Preston North End,
1039,10172,Queens Park Rangers,Queens Park Rangers,
1010,9817,Watford FC,Watford,
512,10194,Stoke City,Stoke City,
1020,8462,Portsmouth FC,Portsmouth,
358,8451,Charlton Athletic,Charlton Athletic,
164,8655,Blackburn Rovers,Blackburn Rovers,
984,8659,West Bromwich Albion,West Bromwich Albion,
988,8653,Oxford United,Oxford United,
1003,8197,Leicester City,Leicester City,
1035,10163,Sheffield Wednesday,Sheffield Wednesday,
1198,8430,Lincoln City,Lincoln City,
603,8344,Cardiff City,Cardiff City,
1098,10007,Stockport County,Stockport County,
1027,8484,Bradford City,Bradford City,
355,8559,Bolton Wanderers,Bolton Wanderers,
3684,10253,Stevenage FC,Stevenage,
1031,8346,Luton Town,Luton Town,
2262,8401,Plymouth Argyle,Plymouth Argyle,
1110,9796,Huddersfield Town,Huddersfield Town,
3820,9818,Mansfield Town,Mansfield Town,
2805,8676,Wycombe Wanderers,Wycombe Wanderers,
1032,9798,Reading FC,Reading,
1181,8483,Blackpool FC,Blackpool,
2454,9903,Doncaster Rovers,Doncaster Rovers,
349,8283,Barnsley FC,Barnsley,
1071,8528,Wigan Athletic,Wigan Athletic,
2963,9792,Burton Albion,Burton Albion,
1072,8677,Peterborough United,Peterborough United,
3884,158319,AFC Wimbledon,AFC Wimbledon,
1150,8351,Leyton Orient,Leyton Orient,
6699,9833,Exeter City,Exeter City,
1211,9799,Port Vale FC,Port Vale,
1194,8119,Rotherham United,Rotherham United,
1302,8651,Northampton Town,Northampton Town,
8981,45729,Bromley FC,Bromley,
991,8645,Milton Keynes Dons,Milton Keynes Dons,
986,9834,Cambridge United,Cambridge United,
34888,282326,Salford City,Salford City,
1045,9819,Notts County,Notts County,
1219,9786,Chesterfield FC,Chesterfield,
1034,10005,Grimsby Town,Grimsby Town,
2804,8175,Barnet FC,Barnet,
352,9795,Swindon Town,Swindon Town,
1078,9785,Oldham Athletic,Oldham Athletic,
1042,9784,Crewe Alexandra,Crewe Alexandra,
1060,8416,Colchester United,Colchester United,
899,10006,Walsall FC,Walsall,
2455,10104,Bristol Rovers,Bristol Rovers,
11177,45723,Fleetwood Town,Fleetwood Town,
3688,8671,Accrington Stanley,Accrington Stanley,
2814,10173,Gillingham FC,Gillingham,
3371,8680,Cheltenham Town,Cheltenham Town,
3054,9896,Shrewsbury Town,Shrewsbury Town,
3716,10262,Newport County,Newport County,
1074,8313,Tranmere Rovers,Tranmere Rovers,
3537,8647,Crawley Town,Crawley Town,
12020,7946,Harrogate Town,Harrogate Town,
6168,6350,Barrow AFC,Barrow,
1252,9916,York City,York City,
1088,8493,Rochdale AFC,Rochdale,
1220,10196,Carlisle United,Carlisle United,
3867,2488,Boreham Wood FC,Boreham Wood,
2964,8412,Scunthorpe United,Scunthorpe United,
2793,8652,Southend United,Southend United,
3455,9828,Forest Green Rovers ,Forest Green Rovers,
1127,10195,FC Halifax Town,FC Halifax Town,
2577,8488,Hartlepool United,Hartlepool United,
2796,8345,Woking FC,Woking,
3539,10254,Tamworth FC,Tamworth,
3489,8646,Boston United,Boston United,
2962,9915,Altrincham FC,Altrincham,
12335,161801,Solihull Moors,Solihull Moors,
4117,161812,Wealdstone FC,Wealdstone,
972,10198,Yeovil Town,Yeovil Town,
