tm_competition_id,fotmob_league_id,score,tm_league_name,fotmob_league_name
ALB1,260,100,Kategoria Superiore,Kategoria Superiore
ALG1,516,100,Ligue 1,Algerian Ligue Professionnelle 1
ARG1,112,100,Torneo Apertura ,Liga Profesional
ARGC,112,100,Torneo Clausura,Liga Profesional
ARG2,8965,100,Primera Nacional,Primera B Nacional
ARG3,9213,0,Torneo Federal A,Primera B Metropolitana & Torneo Federal A
URL3,9213,100,Primera B Metropolitana,Primera B Metropolitana & Torneo Federal A
ARM1,118,100,Premier League,Armenian Premier League
AUS1,113,100,A-League Men,A-League
NNL1,8870,36,National League - North,New Zealand Football Championship
NCL1,8870,36,National League - Central,New Zealand Football Championship
NSL1,8870,36,National League - South,New Zealand Football Championship
A1,38,100,Bundesliga,Austrian Bundesliga
A2,119,100,2. Liga,2. Liga
AZ1,262,100,Premyer Liqa,Azerbaijan Premier League
BGD1,10443,100,Bangladesh Football League,Bangladesh Premier League
BE1,40,100,Jupiler Pro League,First Division A
BE2,264,100,Challenger Pro League,First Division B
BO1A,144,100,Division Profesional,FBF Divisi贸n Profesional
BOS1,267,100,Premijer Liga Bosne i Hercegovine,Premier League of Bosnia and Herzegovina
BRA1,268,100,Campeonato Brasileiro Serie A,Campeonato Brasileiro S茅rie A
BRA2,8814,100,Campeonato Brasileiro Serie B,Campeonato Brasileiro S茅rie B
BRA3,8971,100,Campeonato Brasileiro Serie C,Campeonato Brasileiro S茅rie C
BRCB,10290,100,Campeonato Baiano,Baiano
BRCG,10272,100,Campeonato Carioca,Carioca
BRRS,10274,100,Campeonato Gaucho,Ga煤cho
BRGO,10291,100,Campeonato Goiano,Goiano
BRCM,10273,100,Campeonato Mineiro,Mineiro
BCP1,10244,100,Campeonato Paulista,Paulista A1
BCP1,9483,100,Campeonato Paulista,Paulista A2
BRA4,9464,100,Campeonato Brasileiro S茅rie D,Serie D
BU1,270,100,efbet Liga,First Professional League
BU2,9096,100,Vtora Liga,Second Professional League
CDN1,9986,100,Canadian Premier League,Canadian Premier League
CLPD,273,100,Liga de Primera ,Liga de Primera
CL2B,9126,100,Liga de Ascenso ,Liga de Ascenso
CSL,120,100,Chinese Super League,Chinese Super League
CLO,9137,100,China League One,China League One
